"Caso","HU","SR","Enlace HU GitHub","Version commit","Entorno","Fecha","Ejecutor","Resultado observado","Estado","Evidencia","Bug"
"CP-001-01","HU-001","SR-001.1","https://github.com/smartinezg2018/proyecto-2/issues/4","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Edificio registrado y persistido","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-001-02","HU-001","SR-001.2","https://github.com/smartinezg2018/proyecto-2/issues/4","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Campos obligatorios rechazados","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-001-03","HU-001","SR-001.2","https://github.com/smartinezg2018/proyecto-2/issues/4","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","NIT duplicado rechazado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-002-01","HU-002","SR-002.1","https://github.com/smartinezg2018/proyecto-2/issues/5","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Solo se listaron edificios asignados","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-002-02","HU-002","SR-002.2","https://github.com/smartinezg2018/proyecto-2/issues/5","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Detalle correcto consultado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-003-01","HU-003","SR-003.1, SR-003.2","https://github.com/smartinezg2018/proyecto-2/issues/6","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Actualización persistida y auditada","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-003-02","HU-003","SR-003.1","https://github.com/smartinezg2018/proyecto-2/issues/6","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Actualización inválida rechazada","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-004-01","HU-004","SR-004.1, SR-004.2","https://github.com/smartinezg2018/proyecto-2/issues/7","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Perfil y permisos persistidos","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-004-02","HU-004","SR-004.1","https://github.com/smartinezg2018/proyecto-2/issues/7","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Perfil sin nombre rechazado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-005-01","HU-005","SR-005.1","https://github.com/smartinezg2018/proyecto-2/issues/8","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Usuario registrado y listado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-005-02","HU-005","SR-005.2","https://github.com/smartinezg2018/proyecto-2/issues/8","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Correo duplicado rechazado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-005-03","HU-005","SR-005.1","https://github.com/smartinezg2018/proyecto-2/issues/8","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Campos obligatorios rechazados","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-006-01","HU-006","SR-006.1","https://github.com/smartinezg2018/proyecto-2/issues/9","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Perfil asignado sin duplicados","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-006-02","HU-006","SR-006.2","https://github.com/smartinezg2018/proyecto-2/issues/9","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Operación sin permiso respondió 403","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-007-01","HU-007","SR-007.1","https://github.com/smartinezg2018/proyecto-2/issues/10","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Edificios asignados y consultados","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-007-02","HU-007","SR-007.2","https://github.com/smartinezg2018/proyecto-2/issues/10","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Edificio no asignado respondió 403","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-008-01","HU-008","SR-008.1","https://github.com/smartinezg2018/proyecto-2/issues/11","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Sesión válida creada y conservada","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-008-02","HU-008","SR-008.1","https://github.com/smartinezg2018/proyecto-2/issues/11","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Credenciales incorrectas rechazadas","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-008-03","HU-008","SR-008.1","https://github.com/smartinezg2018/proyecto-2/issues/11","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Usuario inactivo rechazado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-008-04","HU-008","SR-008.2","https://github.com/smartinezg2018/proyecto-2/issues/11","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Sesión invalidada al cerrar","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-009-01","HU-009","SR-009.1","https://github.com/smartinezg2018/proyecto-2/issues/12","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Auditoría mostró todos los campos","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-009-02","HU-009","SR-009.2","https://github.com/smartinezg2018/proyecto-2/issues/12","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Filtros devolvieron coincidencias exactas","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-010-01","HU-010","SR-010.1","https://github.com/smartinezg2018/proyecto-2/issues/13","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Inmueble registrado y asociado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-010-02","HU-010","SR-010.2","https://github.com/smartinezg2018/proyecto-2/issues/13","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Inmueble duplicado rechazado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-010-03","HU-010","SR-010.1","https://github.com/smartinezg2018/proyecto-2/issues/13","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Rango 0 a 100 validado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-011-01","HU-011","SR-011.1, SR-011.2","https://github.com/smartinezg2018/proyecto-2/issues/14","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Responsable asociado sin usuario","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-011-02","HU-011","SR-011.1, SR-011.2","https://github.com/smartinezg2018/proyecto-2/issues/14","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Responsable incompleto rechazado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-012-01","HU-012","SR-012.1, SR-012.2","https://github.com/smartinezg2018/proyecto-2/issues/17","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Activo registrado y asociado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-012-02","HU-012","SR-012.1, SR-012.2","https://github.com/smartinezg2018/proyecto-2/issues/17","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Activo incompleto rechazado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-013-01","HU-013","SR-013.1, SR-013.2","https://github.com/smartinezg2018/proyecto-2/issues/18","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Activos filtrados por edificio","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-013-02","HU-013","SR-013.1","https://github.com/smartinezg2018/proyecto-2/issues/18","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Edificio sin activos devolvió lista vacía","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-014-01","HU-014","SR-014.1, SR-014.2","https://github.com/smartinezg2018/proyecto-2/issues/19","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Activo actualizado con historial","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-014-02","HU-014","SR-014.1","https://github.com/smartinezg2018/proyecto-2/issues/19","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Actualización sin nombre rechazada","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-015-01","HU-015","SR-015.1, SR-015.2","https://github.com/smartinezg2018/proyecto-2/issues/20","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Estado fecha motivo y usuario registrados","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
"CP-015-02","HU-015","SR-015.2","https://github.com/smartinezg2018/proyecto-2/issues/20","4b3756a","API Node/MySQL Docker","2026-09-13","Codex","Cambio sin motivo rechazado","Aprobado API","Resultados_ejecucion_Sprint_1.md",""
